compound_id,target,canonical_dG_kjmol,canonical_source,calc_directory,dir_energy_summary_total,dir_matches_canonical,mdfit_xtc,md_tpr,index_ndx,mmpbsa_mdp,analysis_interval_ps,stride_ps,n_snapshots,provenance_status
A1,alpha_amylase,-165.20,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/AA-A1,-165.201,YES,deleted post-run (cmd recorded -f mdfit.xtc),present,present,954785fb1805 / a08eb840 (phys-identical; 1 comment char),20000-25000,100,51,MATCHED — preliminary Jul-2025 dt=100 run accepted as final
A1,alpha_glucosidase,-174.86,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,NOT ON DISK,,—,,,,"954785fb1805 (phys-identical, per protocol)",20000-25000,200 (per thesis Methods),~26,THESIS-ONLY — no surviving output directory anywhere
A1,hmgcoa_reductase,-190.90,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/HMGR-A1,-190.896,YES,deleted post-run (cmd recorded -f mdfit.xtc),present,present,954785fb1805 / a08eb840 (phys-identical; 1 comment char),20000-25000,100,51,MATCHED — preliminary Jul-2025 dt=100 run accepted as final
A1,pancreatic_lipase,-188.91,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/LP-A1 (SUPERSEDED preliminary),-168.905,no,n/a,present,present,954785fb1805 (phys-identical),20000-25000,100,51,SUPERSEDED — system re-run for thesis (dt=200 per Methods); final-run folder not retained
A2,alpha_amylase,-168.98,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,ISCB+/A2/AA-A2,-168.978,YES,deleted post-run (cmd recorded -f mdfit.xtc),present,present,954785fb1805 / a08eb840 (phys-identical; 1 comment char),20000-25000,100,51,MATCHED — preliminary Jul-2025 dt=100 run accepted as final
A2,alpha_glucosidase,-156.59,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,NOT ON DISK,,—,,,,"954785fb1805 (phys-identical, per protocol)",20000-25000,200 (per thesis Methods),~26,THESIS-ONLY — no surviving output directory anywhere
A2,hmgcoa_reductase,-173.71,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/HMGR-A2 (SUPERSEDED preliminary),-223.711,no,n/a,present,present,954785fb1805 (phys-identical),20000-25000,100,51,SUPERSEDED — system re-run for thesis (dt=200 per Methods); final-run folder not retained
A2,pancreatic_lipase,-143.96,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/LP-A2,-143.957,YES,deleted post-run (cmd recorded -f mdfit.xtc),present,present,954785fb1805 / a08eb840 (phys-identical; 1 comment char),20000-25000,100,51,MATCHED — preliminary Jul-2025 dt=100 run accepted as final
A3,alpha_amylase,-157.27,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/AA-A3,-157.270,YES,deleted post-run (cmd recorded -f mdfit.xtc),present,present,954785fb1805 / a08eb840 (phys-identical; 1 comment char),20000-25000,100,51,MATCHED — preliminary Jul-2025 dt=100 run accepted as final
A3,alpha_glucosidase,-115.66,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/AG-A3,-115.659,YES,deleted post-run (cmd recorded -f mdfit.xtc),present,present,954785fb1805 / a08eb840 (phys-identical; 1 comment char),20000-25000,100,51,MATCHED — preliminary Jul-2025 dt=100 run accepted as final
A3,hmgcoa_reductase,-144.05,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/HMGR-A3,-144.053,YES,deleted post-run (cmd recorded -f mdfit.xtc),present,present,954785fb1805 / a08eb840 (phys-identical; 1 comment char),20000-25000,100,51,MATCHED — preliminary Jul-2025 dt=100 run accepted as final
A3,pancreatic_lipase,-60.91,heatmap.py (2026-05-12) -> Tesis Heat.pdf / Fig. heatmap_mmpbsa -> mmpbsa_dataset.csv,MMPBSA/LP-A3,-60.908,YES,deleted post-run (cmd recorded -f mdfit.xtc),present,present,954785fb1805 / a08eb840 (phys-identical; 1 comment char),20000-25000,100,51,MATCHED — preliminary Jul-2025 dt=100 run accepted as final
