system,analysis,old_src,corrected_src,old_mean,corrected_mean,old_sd,corrected_sd,old_median,corrected_median,old_max,corrected_max,abs_diff_mean,pct_diff_mean,point_count,time_range_ps,qc_status
AA-A6,protein RMSD,md.xtc,mdfit.xtc,0.1553,0.1553,0.0106,0.0106,0.1563,0.1563,0.1823,0.1823,0.0,+0.0%,2501,0-25000,PASS
AA-A6,ligand RMSD,md.xtc,mdfit.xtc,0.2635,0.2634,0.0516,0.0516,0.2585,0.2584,0.5215,0.5216,-0.0,-0.0%,2501,0-25000,PASS
AA-A6,active-site min distance,md.xtc,mdfit.xtc,0.2229,0.2229,0.0137,0.0137,0.2219,0.222,0.287,0.2877,0.0,+0.0%,2501,0-25000,PASS
AA-A6,active-site contacts (<0.6 nm),md.xtc,mdfit.xtc,678.0912,678.0992,113.3959,113.3856,701.0,700.0,925.0,925.0,0.008,+0.0%,2501,0-25000,PASS
AA-A6,catalytic-site COM distance,md.xtc,mdfit.xtc,1.4139,1.4139,0.0906,0.0906,1.407,1.407,1.745,1.745,0.0,+0.0%,2501,0-25000,PASS
AG-A6,protein RMSD,md.xtc,mdfit.xtc,0.2404,0.2404,0.0419,0.0419,0.2431,0.2431,0.336,0.336,0.0,+0.0%,2501,0-25000,PASS
AG-A6,ligand RMSD,md.xtc,mdfit.xtc,0.8781,0.8782,0.3078,0.3078,0.9958,0.996,1.5035,1.5036,0.0001,+0.0%,2501,0-25000,PASS
AG-A6,active-site min distance,md.xtc,mdfit.xtc,0.2369,0.2369,0.0256,0.0256,0.2361,0.2361,0.6355,0.6349,-0.0,-0.0%,2501,0-25000,PASS
AG-A6,active-site contacts (<0.6 nm),md.xtc,mdfit.xtc,475.8329,475.8533,121.2473,121.2477,510.0,510.0,718.0,719.0,0.0204,+0.0%,2501,0-25000,PASS
AG-A6,catalytic-site COM distance,md.xtc,mdfit.xtc,0.9144,0.9144,0.1319,0.1319,0.924,0.924,1.624,1.624,-0.0,-0.0%,2501,0-25000,PASS
HMG-R-25ns-A6,protein RMSD,md.xtc,mdfit.xtc,0.1929,0.1929,0.0234,0.0234,0.1969,0.1969,0.2334,0.2334,0.0,+0.0%,2501,0-25000,PASS
HMG-R-25ns-A6,ligand RMSD,md.xtc,mdfit.xtc,0.5153,0.5153,0.0783,0.0783,0.5277,0.5277,0.6637,0.6637,-0.0,-0.0%,2501,0-25000,PASS
HMG-R-25ns-A6,active-site min distance,md.xtc,mdfit.xtc,0.2413,0.2413,0.0174,0.0174,0.2411,0.2411,0.3426,0.3426,-0.0,-0.0%,2501,0-25000,PASS
HMG-R-25ns-A6,active-site contacts (<0.6 nm),md.xtc,mdfit.xtc,282.517,282.5314,35.8643,35.8777,284.0,284.0,428.0,428.0,0.0144,+0.0%,2501,0-25000,PASS
HMG-R-25ns-A6,catalytic-site COM distance,md.xtc,mdfit.xtc,2.7763,2.7763,0.0442,0.0442,2.783,2.783,2.887,2.887,0.0,+0.0%,2501,0-25000,PASS
LP-A6,protein RMSD,md.xtc,mdfit.xtc,0.2257,0.2257,0.0252,0.0252,0.2252,0.2252,0.3178,0.3178,-0.0,-0.0%,2501,0-25000,PASS
LP-A6,ligand RMSD,md.xtc,mdfit.xtc,4.8364,0.2401,3.5226,0.0584,7.4578,0.2413,7.7115,0.431,-4.5963,-95.0%,2501,0-25000,PASS
LP-A6,active-site min distance,md.xtc,mdfit.xtc,0.204,0.204,0.0166,0.0166,0.2035,0.2036,0.2595,0.2597,-0.0,-0.0%,2501,0-25000,PASS
LP-A6,active-site contacts (<0.6 nm),md.xtc,mdfit.xtc,1084.3271,1084.2631,94.2091,94.231,1078.0,1078.0,1379.0,1379.0,-0.064,-0.0%,2501,0-25000,PASS
LP-A6,catalytic-site COM distance,md.xtc,mdfit.xtc,0.6687,0.6687,0.0411,0.0411,0.665,0.665,0.855,0.855,0.0,+0.0%,2501,0-25000,PASS
