directory,item,present,detail
HMG_CoA_R-A1,trajectory_duration,yes,"100 ns (rmsd_100ns.xvg 0-100 ns; md_100ns.tpr); em/nvt/npt/md full pipeline present"
HMG_CoA_R-A1,canonical_analysis_trajectory,partial,"md_centered.xtc (490 MB) / md_final.xtc (496 MB) / md_nojump.xtc (548 MB), all built Feb 23 2026 (long after the Nov-Dec 2025 production) - post-hoc PBC-processing attempts on the 100 ns run; no evidence these were validated the way HMG-R-200ns-A6's md_final.xtc was"
HMG_CoA_R-A1,md.tpr,yes,"md.tpr (703f3e5a... md5) AND md_100ns.tpr (2000668c... md5) - two different tpr, not identical"
HMG_CoA_R-A1,index.ndx,no,"not found at top level of this directory"
HMG_CoA_R-A1,RMSD,yes,rmsd_100ns.xvg (0-100 ns)
HMG_CoA_R-A1,RMSF,no,not found
HMG_CoA_R-A1,Rg,yes,rg_100ns.xvg
HMG_CoA_R-A1,SASA,no,not found
HMG_CoA_R-A1,PCA/FEL/DCCM,partial,"4 FEL variant dirs (fel_hmgcoa_rmsd_rg, _20bins, _3d, _3d_plotly) + 6 representative_states variant dirs (clustering-derived); no explicit PCA/DCCM output seen at top level"
HMG_CoA_R-A1,MM-PBSA,no,"no energy_summary.csv / residues_energy_summary.csv / binding_energy.xvg / mmpbsa.mdp anywhere in this directory"
HMG_CoA_R-A1,energy_summary.csv,no,absent
HMG_CoA_R-A1,residues_energy_summary.csv,no,absent
HMG_CoA_R-A1,binding_energy.xvg,no,absent
HMG_CoA_R-A1,per_residue_decomposition,no,absent
HMG_CoA_R-A1,CoA/A1_interaction_analysis,no,"single-ligand system only, no CoA present"
HMG_CoA_R-A1-R2,trajectory_duration,yes,"200 ns (md.mdp nsteps=200000000 x dt=0.001 ps; binding_energy.xvg and rmsd-A1.xvg both span 0-200 ns)"
HMG_CoA_R-A1-R2,canonical_analysis_trajectory,yes,"md_final.xtc (source_trajectory in energy_MM.xvg command line); raw md.xtc also present (21.37 GB)"
HMG_CoA_R-A1-R2,md.tpr,yes,"md.tpr, 12142572 B, 284597 atoms - byte-identical size to Mecanismo_inhibitorio/A1/md.tpr"
HMG_CoA_R-A1-R2,index.ndx,yes,"index.ndx (+ index_full.ndx, index_old.ndx - multiple iterations); includes ActiveSite/Catalytic-style groups plus a QM_region group"
HMG_CoA_R-A1-R2,RMSD,yes,rmsd-A1.xvg (0-200 ns)
HMG_CoA_R-A1-R2,RMSF,not_verified,"not located by name at top level in this pass (scope: MM-PBSA + trajectory provenance prioritised); may exist under a different filename"
HMG_CoA_R-A1-R2,Rg,not_verified,not located by name at top level in this pass
HMG_CoA_R-A1-R2,SASA,not_verified,not located by name at top level in this pass
HMG_CoA_R-A1-R2,PCA/FEL/DCCM,partial,"gmx cluster already run (cluster.log: 'Found 4 clusters', clusters.xpm, centers.pdb); no PCA/FEL/DCCM output located by name in this pass"
HMG_CoA_R-A1-R2,MM-PBSA,yes,"FULL 200 ns MM-PBSA present and complete - see a1_long_mmpbsa_recovery.md"
HMG_CoA_R-A1-R2,energy_summary.csv,yes,"Total -236.516 +/- 33.740 kJ/mol (vDW -157.166, Elec -44.399, Polar -102.289 -> sign per file: Polar-solvation 102.289, Non-polar-solvation -137.239)"
HMG_CoA_R-A1-R2,residues_energy_summary.csv,yes,"1616 lines (1615 residues + header), same format as A3/A6"
HMG_CoA_R-A1-R2,binding_energy.xvg,yes,"per-frame decomposition, 150-200 ns window, spans to 200000.000 ps"
HMG_CoA_R-A1-R2,per_residue_decomposition,yes,residues_energy_summary.csv present and readable
