system,label,cluster,frames,fraction_overall,middle_frame,0-50ns,50-100ns,100-150ns,150-200ns
A1,A1,1,935,0.9341,,0.844,1.0,0.988,0.908
A1,A1,2,39,0.039,5,0.156,0.0,0.0,0.0
A1,A1,3,27,0.027,,0.0,0.0,0.012,0.092
APO,,1,994,0.992,,0.968,1.0,1.0,1.0
APO,,2,8,0.008,,0.032,0.0,0.0,0.0
COA,,1,837,0.8353,,0.58,0.988,0.96,0.812
COA,,2,104,0.1038,11,0.416,0.0,0.0,0.0
COA,,3,60,0.0599,,0.0,0.012,0.04,0.188
COA,,4,1,0.001,,0.004,0.0,0.0,0.0
COMP,,1,983,0.9572,,0.932,1.0,1.0,0.94
COMP,,2,33,0.0321,,0.028,0.0,0.0,0.056
COMP,,3,8,0.0078,,0.032,0.0,0.0,0.0
COMP,,4,3,0.0029,,0.008,0.0,0.0,0.004
A3-HMG-R,A3,1,763,0.7622,120,0.376,0.952,0.988,0.732
A3-HMG-R,A3,2,156,0.1558,,0.6,0.024,0.0,0.0
A3-HMG-R,A3,3,70,0.0699,172,0.0,0.0,0.012,0.268
A3-HMG-R,A3,4,8,0.008,,0.008,0.024,0.0,0.0
A3-HMG-R,A3,5,4,0.004,,0.016,0.0,0.0,0.0
HMG-R-200ns-A6,A6,1,1505,0.7521,,0.394,0.936,0.748,0.932
HMG-R-200ns-A6,A6,2,335,0.1674,,0.606,0.064,0.0,0.0
HMG-R-200ns-A6,A6,3,156,0.078,142,0.0,0.0,0.244,0.066
HMG-R-200ns-A6,A6,4,4,0.002,,0.0,0.0,0.008,0.0
HMG-R-200ns-A6,A6,5,1,0.0005,,0.0,0.0,0.0,0.002
system_A3_COA,,1,975,0.974,,0.94,1.0,1.0,0.956
system_A3_COA,,2,16,0.016,,0.06,0.0,0.0,0.004
system_A3_COA,,3,10,0.01,,0.0,0.0,0.0,0.04
system_A6_COA,,1,713,0.7123,,0.064,0.868,1.0,0.916
system_A6_COA,,2,244,0.2438,12,0.928,0.048,0.0,0.0
system_A6_COA,,3,27,0.027,,0.0,0.024,0.0,0.084
system_A6_COA,,4,15,0.015,,0.0,0.06,0.0,0.0
system_A6_COA,,5,2,0.002,1,0.008,0.0,0.0,0.0
