system,observable,overall_mean,overall_sd,mean_0_50,sd_0_50,mean_50_100,sd_50_100,mean_100_150,sd_100_150,mean_150_200,sd_150_200,max_window_shift,ols_slope_per_ns,slope_tstat,drift_over_200ns,stationary
A1,protein_rmsd,0.1733,0.017,0.1496,0.0152,0.1773,0.0078,0.1816,0.0059,0.1846,0.0071,0.035,0.000214,33.77,0.0428,DRIFT
A1,ligand_rmsd,0.662,0.1967,0.3686,0.047,0.6708,0.1529,0.8117,0.0368,0.7959,0.0354,0.4431,0.002834,47.59,0.5668,DRIFT
A1,radius_of_gyration,3.3236,0.0058,3.3246,0.0068,3.3224,0.0051,3.3256,0.0053,3.3218,0.0053,0.0038,-1.8e-05,-5.86,-0.0037,DRIFT
A1,sasa,526.9181,5.1668,530.4554,4.9429,525.7314,4.6905,526.3472,5.0957,525.1326,4.1593,5.3228,-0.031742,-12.01,-6.3485,DRIFT
A1,hbonds_protein,1211.5534,17.3592,1213.956,18.4374,1208.964,16.2024,1209.112,16.445,1214.156,17.6591,5.192,0.007041,0.74,1.4082,yes
A1,active_site_mindist,0.2394,0.0317,0.2142,0.013,0.2396,0.0386,0.2564,0.0274,0.2472,0.0251,0.0422,0.000247,15.95,0.0493,DRIFT
A1,active_site_contacts,341.995,213.8881,653.992,70.7601,338.548,177.518,186.508,30.5726,189.744,28.5643,467.484,-3.106244,-48.88,-621.2488,DRIFT
A1,catalytic_com_distance,2.6031,0.0994,2.5099,0.0487,2.5601,0.1194,2.6873,0.0394,2.6548,0.0338,0.1774,0.001142,28.07,0.2284,DRIFT
APO,protein_rmsd,0.17,0.0217,0.1422,0.0212,0.1649,0.0073,0.1855,0.0047,0.1872,0.005,0.045,0.000317,50.13,0.0635,DRIFT
APO,radius_of_gyration,3.3199,0.0034,3.319,0.0034,3.3211,0.0032,3.3195,0.0034,3.3201,0.0031,0.0021,2e-06,1.04,0.0004,yes
APO,sasa,530.304,5.7879,536.4851,4.4392,529.9783,4.448,527.8213,4.2639,526.9587,4.5755,9.5264,-0.05908,-23.1,-11.8159,DRIFT
APO,hbonds_protein,1243.8633,18.784,1242.656,19.5196,1235.64,16.8072,1246.6215,17.8808,1250.5,17.6786,14.86,0.060877,6.03,12.1754,DRIFT
COA,protein_rmsd,0.2225,0.0311,0.1832,0.031,0.2159,0.0122,0.244,0.0075,0.2468,0.0075,0.0636,0.000446,47.15,0.0893,DRIFT
