target,compound,protein_rmsd_mean,protein_rmsd_sd,ligand_rmsd_mean,ligand_rmsd_sd,active_mindist_mean,active_mindist_sd,active_contacts_mean,active_contacts_sd,catalytic_dist_mean,catalytic_dist_sd
AA,A1,0.1533,0.0123,0.299,0.0959,0.2349,0.0181,754.7465,105.2924,1.1021,0.0767
AA,A2,0.1642,0.0157,0.8123,0.2718,0.2237,0.0251,742.8137,271.0396,1.0682,0.1604
AA,A3,0.1699,0.014,0.3989,0.0873,0.2315,0.0172,723.6062,93.9408,1.1492,0.1011
AA,A4,0.164,0.017,0.7034,0.2407,0.5099,0.1806,95.1819,157.453,1.0672,0.1647
AA,A5,0.1864,0.024,0.4639,0.2272,0.2447,0.0164,635.4382,62.3887,0.8071,0.1585
AA,A6,0.1553,0.0106,0.2635,0.0516,0.2229,0.0137,678.0912,113.3732,1.4139,0.0906
AG,A1,0.3135,0.054,0.925,0.213,0.2271,0.0282,287.5714,106.3354,1.3649,0.1987
AG,A2,0.2008,0.0308,0.7324,0.1828,0.2127,0.0204,693.0,120.1022,1.1218,0.1224
AG,A3,0.2621,0.0322,0.9128,0.325,0.2466,0.0313,371.3167,206.3806,1.5439,0.3799
AG,A4,0.1751,0.0201,0.3636,0.0834,0.2444,0.0285,160.4351,34.3487,0.6726,0.0735
AG,A5,0.2098,0.0217,0.5216,0.0838,0.2062,0.0525,622.9676,182.187,0.7731,0.1487
AG,A6,0.2404,0.0419,0.8781,0.3077,0.2369,0.0256,475.8329,121.2231,0.9144,0.1319
HMG,A1,0.2004,0.0242,0.655,0.1699,0.2373,0.0332,409.385,163.1726,2.4899,0.0724
HMG,A2,0.1902,0.0174,0.2138,0.0388,0.208,0.0261,682.6581,94.5702,1.7582,0.067
HMG,A3,0.1945,0.016,0.4777,0.0799,0.2265,0.0156,694.5194,77.2125,1.579,0.0505
HMG,A4,0.1866,0.0176,0.6597,0.2726,0.2901,0.0592,205.0784,96.3195,2.6295,0.244
HMG,A5,0.1883,0.0189,0.2514,0.14,0.2735,0.0279,235.1076,98.0521,1.9382,0.1327
HMG,A6,0.1929,0.0234,0.5153,0.0783,0.2413,0.0174,282.517,35.8571,2.7763,0.0442
LP,A1,0.2042,0.0274,0.5847,0.1515,0.2354,0.0193,503.0108,119.5319,0.942,0.0857
LP,A2,0.2605,0.0354,0.6586,0.5101,0.2169,0.0237,1022.5714,330.2445,1.4809,0.4813
LP,A3,0.227,0.0261,0.1564,0.0499,0.2371,0.0183,577.9016,64.847,0.7965,0.0408
LP,A4,0.2032,0.0322,0.4183,0.0716,0.2319,0.0176,493.6373,96.7305,0.9754,0.0453
LP,A5,0.1896,0.0223,0.3294,0.1829,0.223,0.0139,1196.4814,143.4596,0.9517,0.1582
LP,A6,0.2257,0.0252,4.8364,3.5219,0.204,0.0166,1084.3271,94.1903,0.6687,0.0411
